Gender,Race,Residence,Income,School Type,Hooks,Major,Rank%,SAT,ACT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections
M,WHITE,FL,Low,SMALL,MISSING,CS,-1,-1,34,4.5,3.5,['*GEORGIA TECH'],['*UCHICAGO'],"['*STANFORD', '*CALTECH']"
M,ASIAN,CA,Low,-1,FIRST-GEN,CS,-1,1400,-1,1,3.5,"['*POMONA', '*San Jose State University']","['*UCD', '*UCSC']","['*UCLA', '*UCSD', '*UCSB', '*UCR']"
M,WHITE,DC,Low,PUBLIC,NONE,CS,-1,1500,-1,6.5,8.5,[],"['*SWARTHMORE', '*UVA']","['*BROWN', '*CORNELL', '*PRINCETON', '*VANDERBILT', '*UCHICAGO']"
M,ASIAN,CO,Low,-1,FIRST-GEN,CS,-1,1510,15,5,4.3,[],"['*NORTHWESTERN', '*COLUMBIA', '*WASHU']","['*COLUMBIA', '*DUKE', '*NYU', '*WASHU']"
M,BLACK,CA,Low,PUBLIC,URM,CS,1,1410,-1,6.5,7.5,"['*CORNELL', '*BERKELEY', '*UCSD', '*CMU', '*UCI']",[],"['*UCLA', '*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*PRINCETON', '*CALTECH', '*UPENN']"
F,ASIAN,MI,Low,PUBLIC,NONE,CS,5,-1,-1,7.5,6.8,"['*UMICH', '*UIUC', '*BOSTON COLLEGE', '*UW MADISON']",[],"['*HARVARD', '*YALE', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*VANDERBILT', '*UPENN', '*UMICH', '*USC', '*UIUC', '*BOSTON COLLEGE', '*WASHU', '*NORTHEASTERN', '*UW MADISON', '*ARIZONA STATE']"
M,ASIAN,CA,Low,PUBLIC,NONE,CS,-1,1400,-1,2,2.5,"['*POMONA', '*UPENN', '*UCSC', '*FORDHAM']","['*UCSD', '*CASE WESTERN']","['*UCLA', '*BERKELEY', '*USC', '*UCR', '*TUFTS', '*UCI']"
F,WHITE,FL,Low,-1,URM,-1,-1,-1,-1,7.5,8.3,[],[],"['*JOHNS HOPKINS', '*USC', '*TUFTS']"
M,ARAB,WA,OTHER,PRIVATE,NONE,CS,-1,-1,-1,8.5,8.5,"['*FORDHAM', '*RUTGERS', '*NORTHEASTERN', '*TULANE']",[],"['*UCLA', '*HARVARD', '*CORNELL', '*BERKELEY', '*NYU', '*NORTHEASTERN', '*TULANE', '*UCI']"
F,ASIAN,WA,High,PUBLIC,NONE,POLISCI,-1,1320,-1,7.5,7.8,"['*COLUMBIA', '*PURDUE']",['*UW MADISON'],"['*GEORGIA TECH', '*NYU', '*FORDHAM', '*NORTHEASTERN']"
T,WHITE,CO,Low,PUBLIC,FIRST-GEN,PSYCH,-1,1350,32,5.5,2.5,['*COLUMBIA'],[],"['*YALE', '*COLUMBIA', '*UPENN', '*UVA']"
F,BLACK,CO,OTHER,PUBLIC,URM,NEUROSCIENCE,1,1530,-1,7.5,3.7,"['*YALE', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*JOHNS HOPKINS', '*POMONA', '*VANDERBILT', '*BOSTON UNIVERSITY', '*NORTHEASTERN', '*HARVEY MUDD']",['*TUFTS'],"['*HARVARD', '*BROWN', '*STANFORD', '*CORNELL', '*PRINCETON', '*UPENN', '*USC']"
F,ASIAN,WA,Middle,PUBLIC,NONE,CS,-1,1540,-1,6.5,6.5,"['*MIT', '*PURDUE', '*UMICH', '*San Jose State University', '*ARIZONA STATE']",[],"['*GEORGIA TECH', '*UIUC']"
F,ASIAN,NE,High,PUBLIC,FIRST-GEN,UNDECIDED,-1,1460,-1,6.5,2.5,['*UT-DALLAS'],['*BOSTON UNIVERSITY'],[]
M,ASIAN,CA,Low,PUBLIC,LGBT,CS,-1,1560,-1,3.5,4.5,"['*UCLA', '*BERKELEY', '*UCSD', '*POMONA', '*UCSB', '*UCSC', '*UCR', '*UCI']",[],['*USC']
F,ASIAN,OR,Low,PUBLIC,NONE,CS,1,1520,-1,7.5,7.8,"['*UCLA', '*GEORGIA TECH', '*NORTHEASTERN', '*UVA', '*UCI']","['*JOHNS HOPKINS', '*CMU', '*WASHU']",['*UCHICAGO']
M,WHITE,LA,High,PUBLIC,OTHER,NEUROSCIENCE,25,1480,-1,5.5,6.5,[],[],[]
F,WHITE,LA,Low,PRIVATE,NONE,CS,-1,1360,34,3.5,5.5,"['*UPENN', '*TULANE']","['*VIRGINIA TECH', '*UVA']",[]
M,WHITE,TX,Low,PUBLIC,URM,ENG,-1,1180,-1,3.5,7.5,"['*UT-AUSTIN', '*UVA']",[],['*CMU']
F,ASIAN,WI,High,PUBLIC,MISSING,CS,-1,-1,32,1.5,2.5,"['*MIT', '*JOHNS HOPKINS', '*CMU', '*UW MADISON']","['*NORTHWESTERN', '*WASHU']",['*NORTHEASTERN']
M,ASIAN,CA,High,PUBLIC,FIRST-GEN,CS,62,1390,-1,4,4.5,"['*PURDUE', '*POMONA', '*UCR', '*ARIZONA STATE']",['*UCSC'],"['*UCD', '*UIUC', '*TULANE', '*UCI']"
F,ASIAN,IN,Low,PRIVATE,NONE,CS,-1,1470,-1,6.5,6.8,"['*COLUMBIA', '*UCSD', '*UCD', '*UIUC', '*RUTGERS', '*NORTHEASTERN']",['*UCSB'],['*BOSTON UNIVERSITY']
F,WHITE,LA,High,PUBLIC,NONE,BIO,5,1400,-1,3.5,6.8,"['*UMICH', '*UCD', '*UCSC']",['*BOSTON UNIVERSITY'],[]
M,WHITE,CO,Low,-1,NONE,CS,-1,1520,15,6.5,7.3,[],"['*SWARTHMORE', '*COLGATE']","['*UCLA', '*BROWN', '*CORNELL', '*BERKELEY', '*WILLIAMS', '*TUFTS']"
M,WHITE,LA,Low,PRIVATE,NONE,CS,-1,1500,-1,7.5,6.5,"['*NORTHEASTERN', '*COLGATE']",[],"['*SWARTHMORE', '*WILLIAMS']"
M,ASIAN,CA,High,PUBLIC,NONE,PUBLIC POLICY,-1,1560,-1,8.5,8.5,"['*UCLA', '*NORTHWESTERN', '*COLUMBIA', '*PURDUE', '*UMICH', '*UCD', '*UCI']",[],"['*HARVARD', '*BERKELEY']"
M,WHITE,IA,Middle,SMALL,NONE,LAW,-1,-1,33,6.5,7.1,[],[],['*SWARTHMORE']
M,WHITE,CO,Low,-1,LEGACY,CS,-1,1510,15,5.5,1.0,['*UPENN'],[],[]
M,BLACK,MN,Low,PUBLIC,URM,ENVIRONMENTAL STUDIES,-1,-1,26,1,7.5,['*CORNELL'],['*NYU'],['*CASE WESTERN']
M,ASIAN,OTHER,Low,PUBLIC,NONE,CS,-1,-1,-1,8.5,6.5,"['*UCLA', '*WASHU', '*RUTGERS', '*UVA', '*UCI']",[],"['*UCLA', '*HARVARD', '*YALE', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DARTMOUTH', '*NYU', '*UPENN', '*UMICH']"
M,ASIAN,NY,Low,-1,NONE,-1,-1,-1,-1,5.5,3.5,[],[],"['*BROWN', '*CMU', '*NYU']"
F,ASIAN,CA,Low,PUBLIC,NONE,SOCIAL SCIENCES,-1,1530,-1,6.5,4.2,"['*UCSD', '*SWARTHMORE', '*UCSB', '*UCD', '*UCI']","['*UCLA', '*POMONA', '*BOSTON UNIVERSITY']","['*YALE', '*BERKELEY', '*PRINCETON', '*NYU', '*UPENN', '*EMORY', '*USC', '*WASHU', '*NORTHEASTERN', '*UCHICAGO']"
M,ASIAN,CA,High,PUBLIC,MISSING,BUSINESS,-1,-1,-1,6,6.5,"['*UCSC', '*UCR', '*San Jose State University']",[],"['*UCLA', '*USC', '*UCI']"
F,ASIAN,IN,Low,-1,URM,MUSIC,-1,1520,15,6.5,4.5,"['*NORTHWESTERN', '*NYU']",[],"['*BROWN', '*USC']"
M,WHITE,IN,Low,PUBLIC,NONE,BIO,5,1540,-1,7.5,7.5,"['*MIT', '*PURDUE']","['*VANDERBILT', '*NYU', '*BOSTON UNIVERSITY']","['*NORTHWESTERN', '*MIT', '*WASHU']"
M,ASIAN,TX,Middle,PUBLIC,NONE,BIO,-1,-1,34,6.5,7.3,[],"['*EMORY', '*WASHU']","['*RICE', '*VANDERBILT', '*UT-AUSTIN', '*NORTHEASTERN']"
M,WHITE,OR,Low,-1,NONE,ENG,-1,-1,-1,6.5,2.0,['*GEORGIA TECH'],"['*UMICH', '*EMORY']",['*UT-AUSTIN']
F,ASIAN,CO,Low,-1,NONE,BUSINESS,5,1540,15,6.5,1.0,"['*CMU', '*WASHU', '*UT-AUSTIN']",['*NORTHEASTERN'],['*USC']
F,BLACK,NY,Low,PUBLIC,URM,PREMED,-1,1430,-1,5,4.2,"['*NORTHWESTERN', '*CASE WESTERN', '*USC', '*FORDHAM']","['*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*NORTHEASTERN', '*UNC CHAPEL HILL']","['*DUKE', '*NYU']"
F,ASIAN,CA,Low,-1,LEGACY,BUSINESS,-1,1500,15,1,0.5,"['*PURDUE', '*NYU', '*UPENN', '*NORTHEASTERN']","['*CMU', '*UCD']","['*UCLA', '*BERKELEY', '*GEORGIA TECH', '*UMICH', '*UCSC', '*UCI']"
F,ASIAN,IN,High,PRIVATE,NONE,-1,-1,-1,36,6.5,4.5,"['*CMU', '*NYU', '*UCD', '*NORTHEASTERN']","['*PURDUE', '*UMICH', '*BOSTON UNIVERSITY']","['*UCLA', '*HARVARD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*UCSD', '*JOHNS HOPKINS', '*CMU', '*VANDERBILT', '*UPENN', '*USC', '*UCSB', '*UIUC', '*TUFTS']"
M,WHITE,CA,Low,-1,OTHER,BUSINESS,-1,-1,34,4.5,0.0,[],['*COLUMBIA'],['*UIUC']
F,ASIAN,CO,Low,-1,LEGACY,ARTS,-1,1500,15,6.5,1.5,"['*UCD', '*TUFTS']","['*NYU', '*UMICH']","['*UCLA', '*UCI']"
F,WHITE,MI,Low,PUBLIC,LEGACY,CS,-1,1540,36,6.5,8.7,['*UMICH'],['*VANDERBILT'],"['*YALE', '*BROWN', '*SWARTHMORE', '*WILLIAMS']"
M,WHITE,HI,Low,-1,NONE,CS,91,1440,14,3.5,8.0,[],[],[]
F,WHITE,OTHER,Low,PUBLIC,FIRST-GEN,LAW,5,1300,-1,5.5,6.5,[],"['*CORNELL', '*SWARTHMORE']","['*DARTMOUTH', '*EMORY']"
F,WHITE,CA,MISSING,PUBLIC,NONE,CS,-1,1470,-1,6.5,4.5,"['*UCLA', '*COLUMBIA', '*UCSD', '*USC', '*UCSB', '*UCD', '*UCR', '*San Jose State University', '*UCI']","['*BERKELEY', '*BOSTON UNIVERSITY', '*NORTHEASTERN']","['*HARVARD', '*NORTHWESTERN', '*COLUMBIA', '*NYU']"
F,HISPANIC,UT,High,PUBLIC,FIRST-GEN,POLISCI,5,-1,35,3.5,3.7,"['*RICE', '*POMONA', '*WASHU']",['*VANDERBILT'],['*BROWN']
F,OTHER,MI,Low,PUBLIC,URM,NEUROSCIENCE,10,-1,34,8.5,7.5,['*NORTHWESTERN'],"['*COLUMBIA', '*NORTHEASTERN', '*TUFTS']","['*HARVARD', '*YALE', '*MIT', '*NYU']"
M,ASIAN,MI,Low,-1,NONE,-1,6,1590,15,7.5,4.5,['*UCI'],"['*WILLIAMS', '*UMICH']","['*UCLA', '*BERKELEY', '*GEORGIA TECH', '*RICE', '*WASHU']"
M,WHITE,NY,OTHER,PUBLIC,MISSING,CS,-1,-1,-1,2,6.5,['*RUTGERS'],[],"['*YALE', '*COLUMBIA', '*CORNELL', '*NYU', '*COLGATE']"
M,BLACK,INTERNATIONAL,High,PRIVATE,NONE,-1,-1,-1,-1,2.5,7.5,[],[],"['*MIT', '*UPENN', '*EMORY', '*NORTHEASTERN', '*TULANE']"
M,ASIAN,OH,Low,PRIVATE,NONE,-1,4,1560,-1,9.5,8.2,[],['*PURDUE'],"['*CORNELL', '*GEORGIA TECH', '*DARTMOUTH', '*CMU', '*RICE', '*UIUC']"
M,WHITE,NY,Low,PUBLIC,NONE,ENG,-1,1530,-1,2,6.5,[],"['*CMU', '*CASE WESTERN']","['*HARVARD', '*YALE', '*CORNELL', '*PRINCETON', '*MIT', '*PURDUE', '*UPENN', '*NORTHEASTERN']"
F,ASIAN,CA,Low,PUBLIC,NONE,ENG,-1,1440,-1,5.5,3.5,"['*BERKELEY', '*UCI']",[],"['*UCLA', '*BERKELEY', '*UCI']"
F,WHITE,MI,Low,-1,NONE,NEUROSCIENCE,1,1500,-1,3.5,7.5,['*COLGATE'],"['*HARVARD', '*BOSTON UNIVERSITY']","['*BROWN', '*JOHNS HOPKINS', '*SWARTHMORE']"
F,ASIAN,CO,Low,PUBLIC,NONE,MATH,-1,1560,-1,6.5,4.5,['*NORTHEASTERN'],['*PURDUE'],"['*YALE', '*UIUC', '*TUFTS']"
F,ASIAN,FL,Low,PUBLIC,NONE,ENG,-1,1560,36,6.5,6.3,"['*NORTHWESTERN', '*VANDERBILT']","['*JOHNS HOPKINS', '*EMORY', '*WASHU']","['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*DUKE', '*UMICH']"
M,ASIAN,IA,OTHER,PRIVATE,NONE,ENG,-1,-1,-1,6,6.8,"['*CASE WESTERN', '*UCD', '*UCSC']",['*UCI'],"['*UCLA', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*RICE', '*POMONA', '*NYU', '*UPENN', '*UMICH', '*NORTHEASTERN']"
M,ASIAN,CA,Low,-1,OTHER,CS,-1,1480,14,5.5,0.0,"['*UCLA', '*BERKELEY', '*UCSD', '*NYU', '*USC', '*UCI']",[],"['*UCLA', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*JOHNS HOPKINS', '*UPENN']"
M,BLACK,INTERNATIONAL,High,PRIVATE,OTHER,CS,4,1580,-1,8.5,4.5,"['*COLUMBIA', '*PRINCETON', '*GEORGIA TECH', '*PURDUE', '*UPENN']",[],"['*CORNELL', '*CALTECH', '*UVA']"
M,ASIAN,OTHER,High,PUBLIC,FIRST-GEN,CS,15,1440,-1,2,6.5,"['*CORNELL', '*BERKELEY', '*RICE', '*RUTGERS', '*NORTHEASTERN', '*UVA']","['*UCLA', '*CMU', '*BOSTON UNIVERSITY']","['*BROWN', '*DUKE', '*VANDERBILT', '*UPENN', '*UT-AUSTIN']"
M,ASIAN,CA,Low,PUBLIC,NONE,-1,-1,-1,-1,2,6.8,"['*UCSD', '*POMONA', '*UCSB', '*UCD', '*UCSC', '*UCR', '*NORTHEASTERN']","['*UCSD', '*NYU', '*UCI']","['*UCLA', '*UCSD', '*UCSB', '*NORTHEASTERN', '*UCI']"
M,ASIAN,OR,Low,PUBLIC,NONE,CS,7,-1,-1,6.5,6.5,"['*UPENN', '*UCSB', '*RUTGERS']","['*DUKE', '*GEORGIA TECH', '*CMU', '*UMICH', '*UCHICAGO']","['*UCLA', '*HARVARD', '*YALE', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*PRINCETON', '*NYU', '*UPENN', '*UIUC', '*UT-AUSTIN', '*UCI']"
M,ASIAN,WA,Low,PRIVATE,OTHER,CS,-1,1560,-1,8.5,8.7,[],"['*COLUMBIA', '*CORNELL', '*PRINCETON']","['*HARVARD', '*YALE', '*STANFORD', '*NORTHWESTERN', '*DUKE', '*UPENN']"
M,ASIAN,TX,Middle,PUBLIC,NONE,CS,-1,1580,36,6.5,7.3,"['*UCSD', '*PURDUE', '*NYU', '*USC', '*UCSB', '*UT-AUSTIN']",['*RICE'],"['*UCLA', '*YALE', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*PRINCETON', '*UPENN']"
M,WHITE,LA,High,PRIVATE,NONE,NEUROSCIENCE,10,1570,-1,6,4.7,"['*UCLA', '*CORNELL', '*EMORY']","['*CMU', '*NYU', '*WASHU', '*UCHICAGO', '*UVA', '*UCI']","['*BROWN', '*BERKELEY', '*PRINCETON']"
M,ASIAN,MD,OTHER,PUBLIC,NONE,CS,-1,1520,-1,6.5,3.5,[],[],"['*HARVARD', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*BERKELEY', '*PRINCETON', '*UPENN']"
F,WHITE,CA,Low,PUBLIC,LGBT,BUSINESS,9,-1,32,7.5,7.5,"['*UCLA', '*BERKELEY', '*EMORY', '*UCSB', '*UCD', '*UCSC', '*UCI']",[],"['*HARVARD', '*YALE', '*BROWN', '*COLUMBIA', '*MIT', '*UPENN', '*USC']"
F,ASIAN,GA,Low,PUBLIC,FIRST-GEN,POLISCI,-1,1420,-1,6.5,7.5,"['*HARVARD', '*YALE']",['*NORTHEASTERN'],['*CORNELL']
F,ASIAN,OTHER,Low,PRIVATE,NONE,BIO,-1,1530,-1,7.5,6.5,['*MIT'],"['*RICE', '*EMORY']","['*YALE', '*BROWN', '*NORTHWESTERN', '*DUKE']"
F,WHITE,IN,Low,PRIVATE,OTHER,CS,-1,1490,-1,6.5,4.5,['*UCD'],"['*UCLA', '*BERKELEY']","['*YALE', '*COLUMBIA', '*RICE', '*NYU', '*EMORY', '*TUFTS']"
M,WHITE,MI,MISSING,PRIVATE,LEGACY,CS,-1,1540,-1,6.5,4.7,"['*CORNELL', '*CASE WESTERN', '*TUFTS']",['*DARTMOUTH'],"['*YALE', '*BROWN', '*NORTHWESTERN', '*WILLIAMS']"
M,ASIAN,CA,Low,PUBLIC,OTHER,CS,-1,1530,32,8.5,8.7,"['*UCSD', '*PURDUE', '*UPENN', '*UMICH', '*UIUC', '*NORTHEASTERN']",['*UCLA'],"['*BERKELEY', '*NYU']"
M,ASIAN,OTHER,Low,PUBLIC,NONE,CS,-1,-1,-1,8.5,6.5,"['*UCLA', '*CORNELL', '*WASHU', '*RUTGERS', '*UVA', '*UCI']",[],"['*HARVARD', '*YALE', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DARTMOUTH', '*NYU', '*UPENN', '*UMICH']"
F,WHITE,NE,Low,PUBLIC,NONE,HISTORY,1,1550,-1,5,7.5,"['*YALE', '*NORTHWESTERN', '*DARTMOUTH', '*BOSTON COLLEGE', '*FORDHAM', '*NORTHEASTERN']",['*HARVARD'],['*COLUMBIA']
M,WHITE,CA,Low,PRIVATE,OTHER,CS,-1,1550,4,7.5,4.5,"['*UCLA', '*UCSD', '*JOHNS HOPKINS', '*UPENN', '*UCSB', '*UIUC', '*NORTHEASTERN']","['*CORNELL', '*CMU', '*NYU']","['*HARVARD', '*YALE', '*BROWN', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*BERKELEY', '*PRINCETON', '*DARTMOUTH', '*UPENN', '*UVA']"
F,WHITE,TX,Low,CHARTER,LEGACY,CS,-1,1540,-1,6,7.5,[],"['*RICE', '*POMONA', '*EMORY', '*NORTHEASTERN']","['*NORTHWESTERN', '*COLUMBIA', '*SWARTHMORE', '*TUFTS', '*UCHICAGO']"
M,ASIAN,CA,Low,PUBLIC,LEGACY,BIO,-1,1430,34,4.5,6.8,"['*CORNELL', '*UCSD', '*EMORY', '*UIUC', '*BOSTON UNIVERSITY', '*UW MADISON', '*UCI']","['*UCLA', '*CASE WESTERN']","['*BROWN', '*NORTHWESTERN', '*BERKELEY', '*RICE', '*VANDERBILT', '*NYU', '*UPENN', '*UMICH', '*USC', '*WASHU', '*NORTHEASTERN', '*TUFTS']"
F,ASIAN,INTERNATIONAL,OTHER,PRIVATE,NONE,CS,-1,-1,-1,2,6.5,"['*UCSC', '*UCR', '*FORDHAM']",['*UCI'],"['*UCLA', '*BERKELEY', '*POMONA', '*NYU', '*UPENN', '*USC']"
M,ASIAN,UT,Low,-1,NONE,CHEMISTRY,-1,1540,15,5.5,8.2,"['*UCLA', '*DARTMOUTH', '*UCI']",['*CMU'],"['*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*NYU', '*UPENN', '*WASHU']"
M,WHITE,NY,Low,PUBLIC,NONE,PSYCH,-1,-1,35,6.5,7.5,"['*CORNELL', '*NORTHEASTERN']","['*NORTHWESTERN', '*NYU', '*COLGATE', '*TUFTS']","['*BROWN', '*SWARTHMORE']"
M,ASIAN,WI,Low,PRIVATE,NONE,BUSINESS,-1,1490,-1,6.5,3.5,"['*UPENN', '*UIUC']",[],"['*NORTHWESTERN', '*UMICH', '*EMORY', '*WASHU', '*UT-AUSTIN', '*NORTHEASTERN', '*UVA']"
M,ASIAN,IN,Low,PRIVATE,OTHER,BUSINESS,-1,1470,-1,8.5,6.5,['*EMORY'],"['*UCLA', '*BERKELEY', '*UMICH']","['*CMU', '*NYU', '*UPENN', '*USC']"
F,ASIAN,CA,Low,-1,OTHER,CS,-1,1500,-1,5.5,2.5,"['*BERKELEY', '*GEORGIA TECH', '*PURDUE', '*VANDERBILT', '*EMORY', '*NORTHEASTERN', '*COLGATE', '*UCI']",['*NYU'],"['*UCLA', '*DUKE', '*UCSD', '*SWARTHMORE', '*RICE', '*POMONA', '*WILLIAMS', '*UVA']"
M,ASIAN,DC,Low,PRIVATE,NONE,-1,-1,1520,-1,7.5,6.5,"['*UCLA', '*GEORGIA TECH', '*RICE', '*UPENN']",[],"['*HARVARD', '*STANFORD', '*BERKELEY', '*PRINCETON', '*RICE', '*VANDERBILT', '*NORTHEASTERN']"
M,WHITE,IN,Low,PUBLIC,NONE,BIO,5,1540,-1,6.5,7.5,['*PURDUE'],"['*VANDERBILT', '*NYU', '*BOSTON UNIVERSITY']","['*HARVARD', '*YALE', '*NORTHWESTERN', '*COLUMBIA', '*PRINCETON', '*MIT', '*DARTMOUTH', '*WASHU']"
M,ASIAN,MI,High,PUBLIC,NONE,BIO,-1,1560,-1,8.5,3.5,"['*STANFORD', '*UPENN', '*UMICH', '*CASE WESTERN', '*FORDHAM', '*ARIZONA STATE']",[],[]
OTHER,ASIAN,CA,OTHER,PUBLIC,NONE,CS,9,1520,-1,6.5,8.2,"['*UCLA', '*UCSD', '*PURDUE', '*POMONA', '*UCSC', '*UCR', '*UIUC', '*San Jose State University', '*ARIZONA STATE']","['*CMU', '*UCSB', '*UCD']","['*UCLA', '*HARVARD', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*GEORGIA TECH', '*UMICH']"
M,BLACK,NY,Low,PUBLIC,URM,CS,-1,1410,-1,6.5,8.5,"['*HARVARD', '*COLUMBIA', '*CORNELL', '*PRINCETON', '*UPENN', '*FORDHAM', '*NORTHEASTERN']",[],"['*DUKE', '*PRINCETON', '*NYU', '*UPENN']"
M,ASIAN,IN,Low,PUBLIC,NONE,CS,-1,1490,-1,2.5,6.5,[],['*UCLA'],"['*HARVARD', '*YALE', '*STANFORD', '*COLUMBIA', '*CORNELL', '*DUKE', '*PRINCETON', '*NYU', '*UCI']"
M,ASIAN,CA,High,PUBLIC,NONE,CS,-1,1550,-1,8.5,3.5,"['*HARVARD', '*STANFORD', '*COLUMBIA', '*BERKELEY', '*DUKE', '*UCSD', '*MIT', '*CALTECH', '*ARIZONA STATE', '*UCI']","['*UCLA', '*DUKE']","['*NORTHWESTERN', '*COLUMBIA', '*BERKELEY']"
M,ASIAN,MA,High,PUBLIC,MISSING,CS,-1,-1,35,7.5,8.3,"['*YALE', '*CMU', '*UMICH', '*UIUC', '*WASHU']","['*UCLA', '*HARVARD', '*COLUMBIA', '*CORNELL', '*CALTECH', '*GEORGIA TECH', '*UPENN']","['*STANFORD', '*NORTHWESTERN', '*BERKELEY', '*DUKE', '*PRINCETON', '*MIT']"
M,ASIAN,CO,High,PUBLIC,OTHER,CS,-1,-1,35,7.5,6.5,"['*UCLA', '*BERKELEY', '*DUKE']","['*BROWN', '*COLUMBIA', '*CORNELL', '*DARTMOUTH', '*NYU', '*UPENN', '*WASHU', '*UCHICAGO', '*UVA']","['*HARVARD', '*YALE', '*STANFORD', '*NORTHWESTERN', '*PRINCETON', '*MIT']"
M,WHITE,OTHER,Low,CHARTER,OTHER,BIO,-1,1530,-1,3,6.3,['*PURDUE'],['*UMICH'],"['*YALE', '*STANFORD', '*DUKE', '*PURDUE', '*VANDERBILT']"
F,WHITE,FL,Low,PUBLIC,OTHER,CS,2,1560,-1,1,4.7,"['*MIT', '*VANDERBILT', '*UVA']","['*SWARTHMORE', '*EMORY', '*UCHICAGO']","['*YALE', '*BROWN', '*CORNELL', '*DUKE', '*PRINCETON', '*GEORGIA TECH', '*UPENN', '*COLGATE', '*TUFTS', '*UNC CHAPEL HILL']"
F,ASIAN,MA,High,PUBLIC,NONE,POLISCI,-1,-1,35,4.5,6.5,"['*MIT', '*FORDHAM']",['*MIT'],"['*NORTHWESTERN', '*DUKE', '*MIT', '*RICE', '*VANDERBILT', '*NYU', '*UMICH', '*USC', '*BOSTON UNIVERSITY', '*BOSTON COLLEGE', '*WASHU', '*NORTHEASTERN', '*TUFTS', '*CLAREMONT MCKENNA']"
M,ASIAN,CA,Low,PUBLIC,LEGACY,BUSINESS,1,1590,-1,6.5,6.5,"['*BROWN', '*STANFORD', '*BERKELEY', '*DUKE', '*JOHNS HOPKINS', '*RICE', '*WILLIAMS', '*VANDERBILT', '*NYU', '*NORTHEASTERN']","['*HARVARD', '*NORTHWESTERN', '*COLUMBIA', '*CORNELL', '*PRINCETON']","['*UCLA', '*YALE', '*USC']"
M,ASIAN,CA,Low,PUBLIC,NONE,CS,-1,1590,-1,6.5,2.5,"['*UCLA', '*GEORGIA TECH', '*PURDUE', '*UCSC', '*UCR', '*UIUC']","['*UMICH', '*UCSB', '*UCD', '*UVA']","['*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*DUKE', '*JOHNS HOPKINS', '*UPENN', '*USC', '*San Jose State University', '*NORTHEASTERN']"
M,ASIAN,IN,High,PRIVATE,NONE,ENG,-1,1540,-1,8.5,7.5,"['*BERKELEY', '*DARTMOUTH', '*CMU', '*UCD', '*UCSC', '*UIUC']",[],"['*UCLA', '*NORTHWESTERN', '*CORNELL', '*BERKELEY', '*DUKE', '*UCSD', '*DARTMOUTH', '*CMU', '*UPENN', '*UMICH', '*UCSB', '*UCD', '*UCSC', '*UCI']"
M,ASIAN,FL,High,PUBLIC,NONE,CS,10,1500,-1,6.5,4.2,"['*PURDUE', '*UPENN', '*UMICH', '*RUTGERS', '*NORTHEASTERN', '*UW MADISON']","['*UCD', '*UCI']","['*UCLA', '*CORNELL', '*BERKELEY', '*UCSD', '*GEORGIA TECH', '*UIUC', '*BOSTON UNIVERSITY', '*UCHICAGO']"
M,ASIAN,CA,High,PRIVATE,NONE,CS,7,1590,-1,6.5,6.8,"['*NYU', '*UCD', '*UCSC']","['*UCLA', '*UCSD', '*CMU', '*VANDERBILT', '*UCSB']","['*HARVARD', '*YALE', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*PRINCETON', '*MIT', '*UPENN', '*NORTHEASTERN']"
M,BLACK,CO,High,MAGNET,URM,CS,-1,1490,-1,6.5,6.5,"['*CORNELL', '*GEORGIA TECH', '*CMU', '*PURDUE', '*UMICH', '*USC', '*UIUC', '*RUTGERS', '*TUFTS']","['*YALE', '*NORTHWESTERN', '*UPENN']","['*UCLA', '*HARVARD', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*PRINCETON', '*MIT', '*CALTECH', '*USC']"
F,BLACK,TN,Low,PUBLIC,OTHER,PSYCH,-1,-1,-1,5.5,6.8,"['*MIT', '*NYU', '*FORDHAM']",[],[]
