Gender,Race,Residence,Income Bracket,Type of School,Hooks,Intended Major(s),GPA (UW/W),Rank (or percentile),# of Honors/AP/IB/Dual Enrollment/etc.,Senior Year Course Load,SAT,ACT,AP,Extra Curriculars,Awards,Letters of rec,Interviews,Essays,Acceptances,Waitlists,Rejections,Nationality
Male,Indian,Massachusetts,Upper Middle Class,Mediocre Public school,Immigrant but US Citizen,"Applied Math, AI, Entrepreneurship, Engineering & Computer Science",4.0/4.6,8/300,"12 APs, 3 Dual-Enrolments","3 APs (Computer Science, Chemistry, Psychology) 3 Dual-Enrolments (MIT OCW Linear Algebra, MIT OCW Multivariable Calc, English), Teacher Assistant for Calculus and Teacher Assistant for AP Physics C","1570 (770RW, 800M)",,"Calculus AB (5), Physics 1 (5), Statistics (5), World History (5), Physics C: Mechanics (5), Calculus BC (5), AP CSP (4), US History (4), Lang (3)","['MIT Lincoln Laboratory Summer Intern', 'Writer', 'Antarctic Research', 'MA State House Internship', 'Math Team Coach & Captain', 'Students of Color Affinity Group President', 'AP Physics C & Calculus Teacher Assistant', 'Model UN President', 'Karate Black Belt', 'Marching Band', 'Coding Instructor', 'Sales Head & Data Analyst at National STEM Honor Society', 'JV Tennis']","['Coca-Cola Scholar', 'Harvard Guest Speaker on AI & ChatGPT in Education', 'MIT Hackathon 3rd place winner 2x', 'Presented at International Education & Social Justice Conference', 'MIT LLCipher Summer Program', 'Wrote Boston Globe Article on AI & ChatGPT in Education', 'AMC 12 Distinction (2x) and AIME Qual (2x)', ""President's Volunteer Service Gold Award"", 'AP Scholar with Distinction & AP Scholar with Honor']","['AP Calculus Teacher', 'Math Department Head and Physics Teacher/Math Team Coach', 'MIT Lincoln Lab Research Mentor (MIT Alum)', 'Diversity, Inclusion, and Equity Director of my school (Harvard Alum)', 'Massachusetts State Representative']","{'Harvard': 'Great Conversation and said Harvard would have to fight MIT for me. 9/10', 'MIT': ""My Interviewer was very disinterested and didn't care. It was 15 minutes and he said if I don't get in then who would. 6/10"", 'Princeton': 'It was a great conversation and said he would fight for me. 8/10', 'Yale': 'It was also a good conversation and she said she would fight for me. 8/10', 'UPenn M&T': 'Guy kept asking technical questions and I was lost. But in the end, he said I did good and he would fight for me, even though interviews don’t matter too much. 7/10', 'Dartmouth': 'Lady was super impressed and said if I don’t get in then she is quitting doing interviews for Dartmouth. 9/10'}","{'Common App': 'During the pandemic, I found personal growth and a deeper understanding of myself and society through writing, which led me to explore artificial intelligence and its applications, culminating in an internship at MIT and advocacy work, and inspiring my entrepreneurial ambitions.', 'Community Disruption': 'When the pandemic disrupted my activities, I leveraged online platforms to continue learning and leading, discovering new interests in AI and entrepreneurship, and demonstrating resilience by revitalizing my school’s clubs and engaging in new ventures, setting the stage for my future in innovation.', 'Additional Information': 'Links to various articles and videos, and other activities and awards.', 'Supplementals': 'Some were very reflective about my identity, activities, and goals in life. Others were light-hearted and quirky. They were very personalized to the school and emphasized how I fit in, what I would bring to the school, and how I would use the school as a catalyst for my entrepreneurial ventures.', 'Additional Uploads': 'Uploaded my Resume, portfolio of Articles, and a summary of my Research at MIT Lincoln Lab.'}","['WPI (with Max Scholarship, Half off)', 'UW-Madison', 'Northeastern (with Max Scholarship, Half off)', 'Georgia Tech for CS (Early Action)', 'Cornell (Meinig Family Cornell National Scholar)', 'Dartmouth', 'Duke', 'UPenn (Waitlisted M&T)', 'Harvard (Waitlisted → Accepted)', 'Princeton (Committed)']","['UMich (Early Action)', 'Vanderbilt']","['USC', 'Yale', 'Stanford', 'MIT']",
Non-Binary,Filipino,Philippines,35k,Religious private school,N/A,Media Production / Film and Television Production / Communications / Media Studies,"3.9 for Freshman/Sophomore/Senior year, 3.6 for Junior year",,NONE,"Mostly humanities and social science classes, no science or math classes",1230,,,"['Elections Project - assistant project head', 'National Newspaper - writer contributor', 'School Play on Social Justice - wrote and directed', 'Student Council - vice president (junior year) and president (senior year)', 'School Newspaper - news and sports editor', 'Dance Varsity - hiphop dance team member', 'Photography Business - owner', 'International Screenwriting Competition - won 3rd place', 'Elderly Volunteer Organization - treasurer', 'Tutor Services - tutor']","['Academic Honors 9th-12th Grade', 'Leadership Recognition 9th-12th Grade', 'Community Service Recognition 9th-12th Grade', 'Awards for Journalism Competitions', 'Awards for Screenwriting Competitions']","['Media Studies Teacher - 10/10', 'English and Literature Teacher - 8/10']",None,"Common App Essay - 8/10, Supplementals - 7/10 to 8/10","['UPD', 'UST', 'ADMU', 'DLSU', 'University of Denver', 'Brandeis University', 'Syracuse University', 'Marquette University', 'Hofstra University', 'Drexel University', 'Rutgers New-Brunswick', 'University of Maryland', 'University of Massachusetts Amherst', 'PennState']","['Wake Forest University', 'Franklin & Marshall College']","['Kenyon College', 'Sewanee College']",
,,,low-income,,"international student, Deaf, first-generation college student",not specified,,,,,mentioned but not specified,,,['seeking mentorship for college applications'],,,,['willing to provide a detailed letter of self-introduction'],['not specified but aiming for top private universities with full-ride scholarships'],,,
,Asian,,Low income,,,molecular biology,4.0 UW / 4.21 WEIGHTED,,"4 APS, 4 honor classes",,didnt take,didnt take,,"['2 years of volunteer tutoring', '7 years of translating for my mother', '1 year of cancer society club (as a member)', '2 years of christian summer camp', '2 years of competitive show choir', 'unpublished research']","['collegeboard scholarship winner', 'the award we won during one of our competitions in show choir']",,,"wrote about how i took care of my mom during her battle with metastasizing cancer, and how dealing with grief led to the growth of passion","['csuf', 'csulb', 'csula', 'ucr', 'uop (university of pacific)', 'ucsb']",['ucsd (waitlist --> accepted for molecular bio)'],"['usc (dream school)', 'uci', 'ucd', 'ucb', 'ucla', 'cal poly slo', 'stanford']",
Male,White (Turkish),Maryland,,Large Competitive Public School,,"Bioengineering/BioE, Chemical/Biomolecular Engineering","3.9 UW, 4.79 W",No rank,,,"1530, 1540 superscore (750R 790M)",,"AP Chem, AP Phys 1, AP Calc AB, AP USH, AP Psych, AP Gov, AP CSP, AP Bio, AP Lang, AP Phys C, and MV Calc","['NIH AIP (Under a postdoc at NINDS)', 'Varsity Wrestling Team (Placed Counties and Regional)', 'WTCI Albrecht Fellow', 'Pitt PIER', 'Interning at UMB School of Medicine', 'ATA DC YCAP (Some Turkish Cultural Leadership thing)', 'Sustainability Club Pres/Founder', 'EconClub Secretary']","['EC Award', 'NIH IRTA', 'Honor Roll', 'PSAT Thing Commended Scholar']","['Calc: 6/10', 'APUSH: 5/10', 'UMSOM Prof: 8/10', 'Postdoc: 9/10', 'Counselor: I have no clue, counselor switched for me.']","[""Stanford: BAD we both were super awkward and just didn't click."", 'MIT: Great. Old Dude on board of trustees. Basically flexed how he was one of the people who first kickstarted the Qualcomm IPO and shit. Was super nice and we chatted a lot.', 'Harv: Alright. Dude was def in the CIA and was super vague about what he did. I was a bit awkward but it was cool.']","I'm not the best writer, but I am confident I didn't fuck these up this bad. My topics were niche but not over-the-top batshit crazy. I have strict parents and honestly stay in the house WAY too much so my worldview is kind of fucked and cynical in a way. I honestly have no clue what I did right or wrong here. My VERY early EA CA essay was dogshit for sure and I edited it a good amount for RD and Stanford REA.","['University of Maryland College Park EA + Scholars (Attending)', 'Pitt + Honors', 'Loyola Uni Maryland (Guaranteed in cuz of parents job)', 'NYU (NO MONEY)']","[""Cornell, Haven't Heard Back from them, Probably Rejected""]","['Stanford REA', 'JHU RD', 'WashU RD', 'Harv RD', 'MIT RD', 'UC Berk RD', 'Pitt BSMD']",
Male,Asian,Bay Area,500k+,Public,parent legacy at Cornell and Princeton,CS,"4.0 UW, 4.6 W",valedictorian but school doesn’t rank,,,"1580 (780RW, 800M)",,"16 5’s -> CS A (5), Micro (5), Macro (5), Psych (5), Human Geo (5), Chinese (5), World (5), Calc BC (5), Physics 1 (5), Physics 2 (5), Mechanics (5), E&M (5), Lang (5), APUSH (5), Chem (5), Stats (5)","['ML Researcher at Stanford under a decently well known professor, first author on paper accepted to international conferences and qualified to ISEF, during school year and summer.', 'Founder of nonprofit that developed a software for kids with cerebral palsy, used my CS and ML background to design and develop it. Used by over 2,000 kids, recognized by congressman and received some awards for it.', 'At hackathons, developed a lot of ML based projects and won awards at prestigious events.', 'Developer of music related app with 250,000 downloads.', 'Drum Major of Marching Band, led and conducted 150+ members', 'Wind Ensemble principal player', 'Principal player at outside of school orchestra', 'ASB President (in school leadership all 4 years)', 'Math, Physics, and CS Tutor (taught both AP students and olympiad students)', 'CS Club President']","['USAPHO Silver Medalist', 'USAMO Qualifier', 'International ML Conference Acceptance', 'Regional science fair awards and ISEF qualification', 'All-State Band and a national level band']","['Physics Teacher: had for 2 years, and played a big role in me getting USAPHO silver by mentoring me', 'English Teacher: normally not a humanities guy, but I put in extra effort to write strong essays and come prepared with insightful discussion comments to add', 'Stanford Professor: well known professor doing ML research, I worked with him for 3 years, said I was as good as his PHDs.', 'Band Director: submitted this onto colleges that took rec letters for the music portfolio']","Interviewed for Stanford, Harvard, MIT, Yale, Penn, Cornell, Princeton",,"['Stanford (REA)', 'MIT', 'Harvard (Waitlist -> Accept)', 'Cornell', 'Yale (YES Scholar likely letter)', 'Princeton', 'Columbia (likely letter)', 'CMU (SCS)', 'Berkeley (EECS + Regents)', 'UCs for CS: Irvine, Riverside, Merced, Santa Cruz']","['Harvard (Waitlist -> Accept)', 'Penn', 'UCLA (CS)', 'UCSB (CS)', 'Davis (CS)']","['Brown', 'UCSD']",
Female,white,mass,,,??,"communication design (pratt institute), graphic design (lesley university, rhode island school of design, marymount manhattan college), undecided (parsons school of design), design bfa (school of visual arts)",3.77,,"13 honors, 3 ap","ap art, ap spanish, honors playwriting, cp statistics, honors theater, cp marine bio, honors english, ceramics",,,4 on apush,"['theater (4 years)', 'student leadership (3 years)', 'student government (2 years)']","['excellence in student leadership award', 'unsung hero theater award', 'high honors', 'art was put in a calendar sold throughout my town']",,,"['common app essay was about my favorite visual artist and how her transition from a realistic style to an abstract style reflected my personal growth as a human! (also was the pratt specific essay that i just used for all of my applications)', 'wrote an essay for parsons about the lack of diversity in my hometown and how moving to new york would be a good type of culture shock', 'wrote another essay for parsons about a summer program i did there and how learning from industry professionals helped me realize what i wanted to do with my life']","['pratt ea (45%)', 'parsons ea (35%)', 'lesley ea (86%)', 'marymount manhattan (77%)', 'sva honors program (87%)']",[],['risd (19%)'],
Female,Asian,West,Upper middle class,"State school (not very highly ranked, but not on the bottom end either)",None,"UChicago - Biology & History, Social Studies, and Philosophy of Medicine, Duke - Biology, Cornell - Biology & Science and Technology Studies, Brown - Biology & Science, Technology, and Society, UPenn - Biology & Science and Technology Studies",HS GPA - 3.9/4.8 // College GPA - 4.0,,,,,,,"['Social media editor and writer for student newspaper', 'Research assistant for a lab on campus', 'Member of college book club', 'Participated in medical volunteering/outreach club, aiding homeless populations in community']","[""Dean's list from college""]",['Got rec letters from 2 professors I had in my first semester of college'],,"In contrast to the way I approached my first-year applications, I actually did not have anyone look over my supplemental essays. I did have my profs, parents, and a graduate student writing tutor look over my 'why transfer' essay (which is the equivalent of the common app essay for transfer admissions) - but mostly for grammar and clarity, and not for changing the content.","['UChicago', 'Cornell (Non transfer option)', 'Brown']",,"['Duke', 'UPenn']",
Male,white/chinese,CA,,,N/A,Pharmaceutical Sciences/ Biochemistry,3.89/4.00,,,,,,,"['Several humanitarian volunteering positions', 'citizen science', 'science education/communicating']",['2x HS awards of merit'],['rec letter 1 from chem teacher'],,"['Commonapp: wrote about chemistry and stem', 'UC: wrote about challenges, artistic qualities, stem love, and leadership']","['CSUF', 'CPP', 'UCR', 'UCI', 'UCSC', 'CMU']","['UCD', 'LMU']","['CMC', 'Purdue', 'UCLA', 'UCB', 'UCSD', 'UCB', 'CPSLO']",
male,white,Rural VA,upper-middle,"public (somewhat competitive tho, usually abt 1 Ivy+ per year)",maybe location? Idk,"Aerospace Engineering, MechE for places that didn’t have Aero",4.0 UW/ 4.53W (4.44 at time of apps),4 (5 during EA),"6 APs, 9 DEs, 11 Honors, no IB","AP Gov, AP Research, AP Art History, DE Calc 1, DE Brit Lit, DE Aerospace Engineering, Honors Physics, Spanish 3",1520 superscore (two 1510s with 760R 750M and 750R 760M on 3 attempts),Didn’t Take,"4 on AP Bio and AP Seminar, 5 on AP Lang","['Internship (12)- Research Lab at T25, Helped create STEM classroom curriculum', 'Debate (11,12)- Team Captain, Top 10 at states in first year (got 2nd place in state after apps 🫠)', 'Scholastic Bowl (9-12) - Team Captain, led team to regionals for first time in years', 'Tennis (10-12) - Team Captain, raised some money', 'Engineering Club (8-12, yeah it’s weird) - VP, member of competition teams', 'Athletic Advisory Board (11-12) - Represented on behalf of academic teams and did community service, raised some money', 'After-school STEM club/daycare? (12) - Voluntarily chaparoned kids, got offered and accepted real job', 'Powerlifting (9-12) - On varsity team in 10 and 11 before it got deleted, started training before and continued after', 'Beta Club (10-12) - Didn’t do much but that’s mostly the officers’ and sponsor’s fault', 'Mentor (11-12) - Mentored other students in magnet school program', 'additional info - Got Best Delegate at my first Model UN competition after apps as a side quest/practice for debate, mentioned on deferral and waitlist replies later']","['Collegeboard Rural/Small Town National Recognition', 'AP Scholar', 'AP Capstone Diploma', 'Magnet School Diploma Seal (Regional)', 'School award for achievement in Aerospace Engineering class']","['Counselor: 7/10. New hire right before my senior year so not much rapport but spoke to her somewhat frequently', 'History Teacher: 9/10. Bsf. Had him for class in 9th grade and I was the only one who answered during Zoom classes, was my Scholastic Bowl and Debate coach in years following. His writing is not the best tho so not a 10/10', 'Engineering Teacher: 8/10. Had him for 3 years and was part of his club for all of them. Can speak to my abilities super well. He moved districts before my senior year so didn’t see him for a bit but still pretty good regardless', 'Professor: 9/10. Interned under him over the summer and he trusted my capabilities a lot. Wrote lots of LORs before and even asked me what I wanted in it.']",MIT: 7/10. Virtual. Interested in my research and seemed to vibe quite well. Didn’t talk for very long tho and looking back I didn’t really make as good of an impression as I would’ve wanted or talk about all my stuff as much as I wanted to.,"Common App: 9/10. Displayed my ability to set really high goals and never be discouraged by failure. Reviewed by friends at Princeton and Stanford, as well as former CMU admissions officer and highly praised. MIT supps: 9/10. Some of my best work. Reused for so many other schools and scholarships because god damn were they beautiful pieces of writing. General supps: 7/10. Mixed bag. Some really good, some just ok. Spent a decent amount of time and was pretty happy with all of them","['Johns Hopkins (RD)', 'Georgia Tech (Deferred EA, accepted RD - committed!!)', 'Purdue (EA)', 'UMD (EA)', 'Penn State - Waitlisted Honors College (EA)', 'VT - Waitlisted Honors College (EA)', 'UVA (EA)', 'Pitt - Honors College (EA)', 'George Mason - Honors College (EA)']",['Carnegie Mellon'],['MIT'],
Male,white,socal :),middle class,public,n/a,international relations or poli sci (depending on the school),3.87/4.59,n/a,11 aps,"academic decathlon, ap lit, ap stats, apah, ap french, ap gov/ap micro",,"34 (36E, 32M, 33R, 33S)","ap euro (4), ap lang (3), ap spanish (5), apush (5), apes (4)","['academic decathlon president', ""shift leader at parents' small business"", 'spanish national honors society treasurer', 'varsity discus and shot put captain', 'religious school post-confirmation', 'local library volunteer', 'spanish and french tutor', 'local climate change awareness organization', 'summer program at prestigious university', 'youth leadership program']","['a handful of academic decathlon medals from county competitions', 'scholar athlete', 'national spanish exam bronze medal', 'ap scholar with distinction']","['ap spanish: 9/10', 'apush: 5/10', 'counselor: 6/10?? idk']","['brown video: 4/10 it was pretty bad and i had a terrible time filming it', 'american u: 7/10 it was my first one and my only one in person, i thought it went good', ""washu: 6/10 i didn't get one with an alum but i got one with a current student, so im not certain if it counted"", 'occidental college: 4/10 i did not click with my interviewer at all lmao', 'syracuse: 9/10 i accidentally missed my interview originally but my interviewer was super understanding and we rescheduled and it went great', 'northwestern: 9/10 i felt like this one went really well, and i really clicked with my interviewer', 'georgetown: 8/10 nothing really remarkable that i can remember, i just remember feeling good afterward']",im going to keep this anonymous just in case im recognized from this (i hope im not lol). i think on the whole everything was pretty decent.,"['maryland EA', 'wisconsin EA', 'uc davis RD', 'sdsu RD', 'american u RD', 'uw RD', 'oxy RD', 'syracuse RD', 'gwu RD']","['uci RD', 'ucsb RD']","['brown ED', 'ucla RD', 'washu RD', 'northwestern RD', 'georgetown RD', 'cal poly RD', 'cal RD']",
male,white/MENA,suburban,middle class,"public, title I",n/a,political science & computer science,4.0/4.625,2,"16 Honors, 3 AP, 14 IBDP","IB English Literature HL, IB Spanish B SL, IB History (Americas) HL, IB Physics HL, IB Chemistry SL, IB Theory of Knowledge, AP Calculus AB, AP US Gov & Politics","1550 (770RW, 780M)","36 (36E, 36M, 36R, 36S)","5 on AP Computer Science A, predicted 5 on AP Calculus and AP Gov","['speech and debate president and national competitor as well as state champion, 4 hr/wk for all 4 years of high school', 'founder of school newspaper and programmed the website, serve as EIC, 1 hr/wk', 'started voter registration drive at my school, 25 hours/yr in junior and senior year, engaged ~250 fellow students', 'violinist, county honors orchestra 4 years in a row, 8 hr/wk', 'taekwondo, achieved bodan belt rank and on track for black belt (1st dan) in may 2024 (3 hr/wk)', 'taught myself to code w proficiency in HTML, CSS, JS, Python, Swift, Java', 'mentored middle school students in a club i participated in (competitive engineering club), 3hr/wk', 'vice president of tri-m music honors society at my school (2 hr/mo)', 'volunteered with habitat for humanity (24 hours total)', 'youth board member for a music nonprofit that brings concerts to the local community (6 hr/mo)']","['National Merit Semifinalist', 'Original Oratory state champion', 'County honors orchestra', 'Published in large local newspaper writing opinion articles (2x)', 'National Honor Society']","['history teacher, speech and debate advisor — known him for 3+ years, taught me for 2 years, expect the rating was quite high (he also nominated me for speech and debate student of the year of his own accord)', 'math teacher, taught me for 3 years and this year i became a de facto TA and started teaching AP Calculus AB because i already knew it… i assume he rated me highly if he let me do that', 'counselor who wrote a recc after a 45 minute conversation (our first time talking), but nobody cares abt counselor recc']","duke interview was normal asf, nothing special; princeton interview was so weird, the guy was this crazy republican and when i told him about my experience doing research about redlining he brought up “black-on-black crime” for some reason; yale interview was also weird, this lady did not ask me more than 2 questions the whole time she just wanted me to ask her questions","spent a lot of time refining essays. i did reuse a lot of my essays, but they generally fit the prompts and I made sure to mold them to fit better. commonapp personal statement was about my experience with multiculturalism at my hs and how that experience has allowed me to accept my own multiracial identity. idk i’m a pretty good writer and i’m sure my essays were a net benefit or at least net 0 for all of my apps.","['Princeton University, RD [COMMITTED]', 'Duke University, ED —> deferred —> accepted', 'University of North Carolina at Chapel Hill Honors, EA', 'North Carolina State University Honors, EA', 'University of Virginia - Main Campus, RD']","['Yale University, RD']","['Brown University, RD', 'University of Pennsylvania, RD', 'Harvard University, RD', 'Stanford University, RD']",
Female,Asian,North East,,,None besides maybe art?,Engineering major and art minor,All As or A-s on transcript,,"7 AP, two 'accelerated' (honors course adjacent)","Research class, AP Physics C Mech, AP Art, AP Stats, English, History",Not submitted,35,"4 in a language AP, 5 in Chem, Lang, Calc BC","['Two research internships', 'Art', 'Magazine', 'Podcast founder', 'Sport', 'Church', 'School admin stuff']","['Art award (school)', 'Congressional art award 2nd place (district)', 'Science research fair awards']","['Math teacher (8/10)', 'English teacher (6/10)', 'Research PI (8/10)']","['Rice (7/10)', 'Dartmouth (6/10)', 'WashU (8/10)', 'Duke (9/10)']","Personal statement (9/10), Supplements (7.5/10)","['Duke (ED deferral --> RD acceptance --> committed)', 'Rice (RD)', 'WashU (RD)', 'Cornell (RD)', 'University of Rochester (RD)', 'UVA (EA)', 'Case Western (EA)', 'Two state schools (EA)']","['Dartmouth', 'Brown', 'Carnegie Mellon', 'Pomona']",[],
Female,Asian,suburban?? kinda urban?? idk,enough to not qualify for financial aid,non-feeder private,n/a,applied math/math/compsci (cs for public schools),97.23/100 (school does not do weighted),"top 6% (school does not disclose rankings besides val, t6, t10)",full ib diploma student,"HL: math aa, physics, english A literature, economics; SL: compsci, chinese A sl","1570 one take in 10th, 780M & 790R&W",didn't take,5 on AP chinese (taken in 8th grade),"['tax volunteering thing where i got a bunch of tax certifications and helped ppl do their taxes for free', 'highly prestigious math camp (one of PROMYS, SUMaC, Ross)', 'applied mathematics research paper i published', 'fbla, president of my chapter', 'paid research at local university during pandemic where i modeled spread of covid using math stuff', 'USACO gold', 'research symposium', 'varsity tennis', 'concertmaster of school orchestra', 'speech and debate']","['various research awards at different competitions', 'national merit semifinalist', 'fbla national champion for very competitive presentation event', 'some violin awards', 'i forgot what else but i had 5']","[""lit teacher: 8/10, my favorite teacher ever, really improved my writing so much + def one of the better students in her class. shes also really experienced at writing so im pretty sure the letter was good. minus 2 points bc i haven't read it and also hella people asked her to write one so im not sure how much time she could allocate to writing my letter"", 'math teacher: 7/10, really funny dude and i participated a lot in his class + he knew about my extracurriculars in math and how much i love the subject. also same rec letter he wrote which got me into the math camp so it was probably good???']","i had interviews for most schools that gave interviews (harvard, yale, princeton, etc). i'm good at talking to adults so most of them went well. only notable bad one was dartmouth where the guy started talking about israel palestine and used it as an example for why my research wasn't significant.",def the weakest part of my application. nothing really special about them and they aren't reflective of my writing ability. probably 5/10 or 6/10.,"['ut austin (ea, turing scholars/csb honors)', 'rice (rd)', 'uwash (ea)', 'columbia (rd)', 'uchicago (rd, technically i got waitlisted and then offered a transfer option for 2025 so ill count that as an acceptance)']","['yale (rd)', 'mit (rd)', 'brown (rd)', 'upenn (rd)', 'dartmouth (rd)', 'umich (ea)', 'gtech (ea)', 'northwestern (rd)', 'vanderbilt (rd)', 'ucsd (rd)']","['harvard (rd)', 'princeton (rd)', 'stanford (rea --> deferred --> REJECTED ON MY BIRTHDAY)', 'cornell (rd)', 'caltech (rd)', 'duke (rd)', 'uc berkeley (rd)', 'ucla (rd)', 'usc (rd)']",
Female,Asian,Texas,High enough that I won't get aid,Large competitive high school,None,"Business/Finance, Economics, Engineering",4.28,Top 5% of my class (1000+ students),16 AP classes,"AP Lit, AP Spanish Lit, AP Chem, APES, AP Gov, AP Macro, AP Stats, DECA",1540 superscore (770 R and M),,"5's on HUG, Bio, Lang, WHAP, Calc BC, Calc AB subscore, 4's on APUSH, Spanish Lang, CSP, 1 on Physics 1 (didn't submit)","['Created a medtech device, started working with a biotech company', 'Founder and president of personal finance and startup competition club', 'Research with a professor, submitted to the Concord Review', ""Cofounded a national charity gaming tournaments 'nonprofit'"", 'Captain of science olympiad team', 'Internship at a medtech startup', 'Manager at a cafe', 'President of an interest club', 'Varsity LD debate', 'Invested money into businesses in 3rd world countries']","['Diamond Challenge finalist', 'Taekwondo black belt, ITF', 'DECA state qualifier grades 9,10,11', 'National Merit Commended', 'League of Legends plat']","['Calculus BC teacher: 6/10', 'APUSH teacher: 7/10', 'Piano teacher: 8/10', 'Counselor rec: 5/10']","['Georgetown: 8/10', 'Penn: 2/10', 'MIT: 8/10', 'Princeton: 7/10', 'Dartmouth: 6.5/10']","['CommonApp essay: 8.5-9/10', 'UC essays: 6/10', 'Supps: 7-9/10']","['Texas A&M (Engineering)', 'UT San Antonio (Econ)', 'UT Austin (Business)', 'IU Kelley (Business)', 'UVA (L&S College)', 'USC (Business)', 'Vanderbilt (Engineering with $6k stipend)', 'UCSD (Engineering)', 'UCLA (Business Economics)', 'UC Berkeley (L&S)', 'Duke (Biomedical Engineering)']","['UMich (LSA/Business)', 'NYU (Stern)', 'UCSB', 'Williams (Econ)']","['Penn (Wharton)', 'MIT (Business)', 'Every single Ivy (Econ or Business)', 'Georgetown (Business)', 'Northwestern (Engineering)', 'UChicago (Business Economics)', 'Johns Hopkins (Biomedical Engineering)', 'Stanford (Econ)']",
Male,South Asian,South East Asia,,,nothing honestly except i’m a US citizen,Industrial Engineering,"IGCSE eight 9s, two 8s, one 7, IB predicted 44/45",,"Full IB from grades 11-12, IGCSE from grades 9-10","Math AA HL, Physics HL, Business Management HL, English A SL, Spanish B SL, Chemistry SL",1520 (770 math 750 EBRW),,44/45 predicted,"['advocacy nonprofit-type founder (spoken on radio, held talks at elementary schools, 25 person team, partnered with businesses, held workshops)', 'UNICEF Club president (managing over 50 members)', 'NEU London Essay Competition Finalist (Business Category) on ethical implications of automation in industry', 'published a 5 part environment based episodic series with a business (part of nonprofit) and ran promotional campaign', 'inter school marketing competition joint winner', 'summer course at local university for engineering', 'WSC/debate club president (20+ members)', 'school ambassador for large environmentally friendly brand, ran a fundraiser for a bunch of money', 'Varsity basketball (won nothing tho lol)']","['Outstanding IGCSE award (in school)', 'inter school marketing competition winner', 'business finalist for NEU london essay competition']","['LORs from english, business, physics teachers. english teacher should’ve been good but his first time writing a LOR so idk, business and physics were quite generic probs']","interviews with georgetown, upenn, cornell, brown (supp video not interview tho) overall pretty decent but nothing outstanding. georgetown interview was really good tho.",essays were kind of cookie cutter ish. i did research quite a bit into each college but there was a lot of copy pasting. they weren’t terrible but could’ve defo been better.,"['UCSD', 'UCI']","['UCLA', 'UVA', 'Georgetown (SFS)']","['Brown (ED)', 'USC (EA deferred > rejection)', 'NYU', 'UPenn', 'Cornell (CAS)', 'Columbia', 'UC Berkeley']",
Male,White/straight outta caucus (mountains),Smaller Southern US State,upper middle class,medium-large competitive high school,Harvard Legacy,"Philosophy, English, Comparative Literature",4.0/4.85,non-ranked,took 13 ap classes in high school; everything else honors and/or dual enrolment,"AP EURO, APAH, AP PHYSICS, AP WORLD, AP LIT, AP CALC AB, CREATIVE WRITING",,"35 Composite, 36 Superscore","5s on: AP GOV, APUSH, AP LANG, AP BIO, APHG, AP PSYCH; 4 on AP SPANISH LANG","[""Played for and captained school's tennis team (4 years varsity, 2 years captain). Had Success at regional and state level, but not to extent of being recruited athlete. Also did significant community outreach through volunteer coaching for youth--wrote about this in many supplementals"", 'Founded Program at school designed to help lower income students (vague so as to avoid recognition, sorry)', 'Summer Research published and presented (was still into STEM at the time)', 'Quiz Bowl (4 years); nationally competitive', 'Creative Writing--won multiple contests including some national level recognition', 'Had job at local bowling alley (30 hours/week during summer, 10 hours/week during school)', 'Volunteered at local retirement home, spending time with patients who had family that lived far away (very rewarding)', 'Small talkshow/podcast reviewing animated tv shows/movies.', 'Student Community Ambassadors (volunteer organization at my school)', 'Tutoring for ACT/PSAT/SAT/LSAT/MCAT-- (joking about the last two, just wanted to see if anyone was paying attention at that point).']","['One of 100 students recognized in national creative writing competition (over 100,000 submissions)', 'Student of the Year Finalist (big deal at my HS)', 'national merit Finalist', 'Went to Boys State and was elected into major position']","['Physics teacher- 10/10: Was also the coach of my quiz bowl team, and I took his classes for 2 years in highschool. Wrote an excellent letter', 'AP Lit- 8/10: Helped me a lot with my talkshow/podcast, though I think she probabaly focused more on the academic side, which I wanted. I figured the Phyiscs teacher would give them enough fun info about my outside of classroom antics.', 'counselor rec- 9/10: Most people at my school had the junior or senior counselor write their rec letters, but of the abt 10 people who had the freshmen counselor write it, 5 got into top 20s (no spoilers regarding whether or not I joined the cohort)']","[""Harvard- 9.5/10 Got the obligatory 'legacy REA' interview, thought I felt like I smashed it out of the park. I felt like my application was one where either there needed to be a lot of essays or an interview for me to have a chance to stand out, and I thought I did well with this one."", 'dartmouth- 8/10 My interviewer was kind of weird, but at the end said that I was his favorite person he interviewed from his pool (it seemed genuine). Just think he was kind of an odd bird, but super sweet otherwise.']","['commonapp essay- 8.5/10. This one focused on my relationship with my grandfather, and how although he is a very gruff and rough individual, he has imparted a lot of very valuable lessons. Solid essay, though could have been slightly more self centered.', 'supps- 10/10: I may be biased, but I had my parents and brother and best friend read every essay I submitted, and I easily spent well over 100 hours total on my essays. Very happy with all of them, and there were a few true gems']","['Rd- University of Alabama (national merit safety)', 'RD- Brown (Comitted)']","['RD- Emory', 'RD- Boston University', 'RD-UNC Chappel Hill', 'RD Dartmouth']","['REA Harvard (defered->rejected)', 'RD Yale', 'RD Northwestern', 'RD Vanderbilt', 'RD Boston College', 'RD Duke', 'RD UChicago', 'RD Washington and Lee', 'RD WashuSTL']",
